UID,FIPS,Admin2,date,cases,treat1,cities,cases2
84006075,6075,San Francisco,2020-04-07,636,1,San Francisco,0
84006075,6075,San Francisco,2020-04-08,687,1,San Francisco,0
84006075,6075,San Francisco,2020-04-09,748,1,San Francisco,0
84006075,6075,San Francisco,2020-04-10,797,1,San Francisco,0
84006075,6075,San Francisco,2020-04-11,860,1,San Francisco,0
84006075,6075,San Francisco,2020-04-12,886,1,San Francisco,0
84006075,6075,San Francisco,2020-04-13,948,1,San Francisco,0
84006075,6075,San Francisco,2020-04-14,968,1,San Francisco,0
84006075,6075,San Francisco,2020-04-15,1006,1,San Francisco,0
84006075,6075,San Francisco,2020-04-16,1039,1,San Francisco,0
84006075,6075,San Francisco,2020-04-17,1090,1,San Francisco,0
84006075,6075,San Francisco,2020-04-18,1144,1,San Francisco,0
84006075,6075,San Francisco,2020-04-19,1153,1,San Francisco,0
84006075,6075,San Francisco,2020-04-20,1223,1,San Francisco,0
84006075,6075,San Francisco,2020-04-21,1232,1,San Francisco,0
84006075,6075,San Francisco,2020-04-22,1255,1,San Francisco,0
84006075,6075,San Francisco,2020-04-23,1312,1,San Francisco,0
84006075,6075,San Francisco,2020-04-24,1345,1,San Francisco,0
84006075,6075,San Francisco,2020-04-25,1341,1,San Francisco,0
84006075,6075,San Francisco,2020-04-26,1403,1,San Francisco,0
84006075,6075,San Francisco,2020-04-27,1453,1,San Francisco,0
84006075,6075,San Francisco,2020-04-28,1471,1,San Francisco,0
84006075,6075,San Francisco,2020-04-29,1489,1,San Francisco,0
84006075,6075,San Francisco,2020-04-30,1518,1,San Francisco,0
84006075,6075,San Francisco,2020-05-01,1552,1,San Francisco,0
84006075,6075,San Francisco,2020-05-02,1632,1,San Francisco,0
84006075,6075,San Francisco,2020-05-03,1692,1,San Francisco,0
84006075,6075,San Francisco,2020-05-04,1760,1,San Francisco,0
84006075,6075,San Francisco,2020-05-05,1779,1,San Francisco,0
84006075,6075,San Francisco,2020-05-06,1804,1,San Francisco,0
84006075,6075,San Francisco,2020-05-07,1852,1,San Francisco,0
84006075,6075,San Francisco,2020-05-08,1890,1,San Francisco,0
84006075,6075,San Francisco,2020-05-09,1944,1,San Francisco,0
84006075,6075,San Francisco,2020-05-10,1953,1,San Francisco,0
84006075,6075,San Francisco,2020-05-11,1974,1,San Francisco,0
84006075,6075,San Francisco,2020-05-12,1981,1,San Francisco,0
84006075,6075,San Francisco,2020-05-13,2004,1,San Francisco,0
84006075,6075,San Francisco,2020-05-14,2029,1,San Francisco,0
84006075,6075,San Francisco,2020-05-15,2062,1,San Francisco,0
84006075,6075,San Francisco,2020-05-16,2094,1,San Francisco,0
84006075,6075,San Francisco,2020-05-17,2132,1,San Francisco,0
84006075,6075,San Francisco,2020-05-18,2183,1,San Francisco,0
84006075,6075,San Francisco,2020-05-19,2186,1,San Francisco,0
84006075,6075,San Francisco,2020-05-20,2199,1,San Francisco,0
84006075,6075,San Francisco,2020-05-21,2248,1,San Francisco,0
84006075,6075,San Francisco,2020-05-22,2251,1,San Francisco,0
84006075,6075,San Francisco,2020-05-23,2312,1,San Francisco,0
84006075,6075,San Francisco,2020-05-24,2318,1,San Francisco,0
84006075,6075,San Francisco,2020-05-25,2358,1,San Francisco,0
84006075,6075,San Francisco,2020-05-26,2363,1,San Francisco,0
84006075,6075,San Francisco,2020-05-27,2394,1,San Francisco,0
84006075,6075,San Francisco,2020-05-28,2417,1,San Francisco,0
84006075,6075,San Francisco,2020-05-29,2453,1,San Francisco,0
84006075,6075,San Francisco,2020-05-30,2496,1,San Francisco,0
84006075,6075,San Francisco,2020-05-31,2501,1,San Francisco,0
84006075,6075,San Francisco,2020-06-01,2546,1,San Francisco,0
84006075,6075,San Francisco,2020-06-02,2554,1,San Francisco,0
84006075,6075,San Francisco,2020-06-03,2608,1,San Francisco,0
84006075,6075,San Francisco,2020-06-04,2636,1,San Francisco,0
84006075,6075,San Francisco,2020-06-05,2675,1,San Francisco,0
84006075,6075,San Francisco,2020-06-06,2674,1,San Francisco,0
84006075,6075,San Francisco,2020-06-07,2674,1,San Francisco,0
84006075,6075,San Francisco,2020-06-08,2716,1,San Francisco,0
84006075,6075,San Francisco,2020-06-09,2750,1,San Francisco,0
84006075,6075,San Francisco,2020-06-10,2775,1,San Francisco,0
84006075,6075,San Francisco,2020-06-11,2767,1,San Francisco,0
84006075,6075,San Francisco,2020-06-12,2824,1,San Francisco,0
84006075,6075,San Francisco,2020-06-13,2835,1,San Francisco,0
84006075,6075,San Francisco,2020-06-14,2835,1,San Francisco,0
84006075,6075,San Francisco,2020-06-15,2834,1,San Francisco,0
84006075,6075,San Francisco,2020-06-16,2894,1,San Francisco,0
84006075,6075,San Francisco,2020-06-17,2907,1,San Francisco,0
84006075,6075,San Francisco,2020-06-18,2952,1,San Francisco,0
84006075,6075,San Francisco,2020-06-19,2969,1,San Francisco,0
84006075,6075,San Francisco,2020-06-20,3000,1,San Francisco,0
84006075,6075,San Francisco,2020-06-21,3001,1,San Francisco,0
84006075,6075,San Francisco,2020-06-22,3001,1,San Francisco,0
84006075,6075,San Francisco,2020-06-23,3178,1,San Francisco,0
84006075,6075,San Francisco,2020-06-24,3217,1,San Francisco,0
84006075,6075,San Francisco,2020-06-25,3253,1,San Francisco,0
84006075,6075,San Francisco,2020-06-26,3331,1,San Francisco,0
84006075,6075,San Francisco,2020-06-27,3333,1,San Francisco,0
84006075,6075,San Francisco,2020-06-28,3389,1,San Francisco,0
84006075,6075,San Francisco,2020-06-29,3390,1,San Francisco,0
84006075,6075,San Francisco,2020-06-30,3556,1,San Francisco,0
84006075,6075,San Francisco,2020-07-01,3627,1,San Francisco,0
84006075,6075,San Francisco,2020-07-02,3677,1,San Francisco,0
84006075,6075,San Francisco,2020-07-03,3782,1,San Francisco,0
84006075,6075,San Francisco,2020-07-04,3862,1,San Francisco,0
84006075,6075,San Francisco,2020-07-05,3862,1,San Francisco,0
84006075,6075,San Francisco,2020-07-06,3862,1,San Francisco,0
84006075,6075,San Francisco,2020-07-07,4046,1,San Francisco,0
84006075,6075,San Francisco,2020-07-08,4095,1,San Francisco,0
84006075,6075,San Francisco,2020-07-09,4145,1,San Francisco,0
84006075,6075,San Francisco,2020-07-10,4307,1,San Francisco,0
84006075,6075,San Francisco,2020-07-11,4432,1,San Francisco,0
84006075,6075,San Francisco,2020-07-12,4538,1,San Francisco,0
84006075,6075,San Francisco,2020-07-13,4537,1,San Francisco,0
84006075,6075,San Francisco,2020-07-14,4663,1,San Francisco,0
84006075,6075,San Francisco,2020-07-15,4762,1,San Francisco,0
84006075,6075,San Francisco,2020-07-16,4843,1,San Francisco,0
84006075,6075,San Francisco,2020-07-17,4972,1,San Francisco,0
84006075,6075,San Francisco,2020-07-18,5056,1,San Francisco,0
84006075,6075,San Francisco,2020-07-19,5099,1,San Francisco,0
84006075,6075,San Francisco,2020-07-20,5095,1,San Francisco,0
84006075,6075,San Francisco,2020-07-21,5382,1,San Francisco,0
84006075,6075,San Francisco,2020-07-22,5478,1,San Francisco,0
84006075,6075,San Francisco,2020-07-23,5549,1,San Francisco,0
84006075,6075,San Francisco,2020-07-24,5617,1,San Francisco,0
84006075,6075,San Francisco,2020-07-25,5650,1,San Francisco,0
84006075,6075,San Francisco,2020-07-26,5829,1,San Francisco,0
84006075,6075,San Francisco,2020-07-27,5831,1,San Francisco,0
84006075,6075,San Francisco,2020-07-28,5894,1,San Francisco,0
84006075,6075,San Francisco,2020-07-29,6047,1,San Francisco,0
84006075,6075,San Francisco,2020-07-30,6113,1,San Francisco,0
84006075,6075,San Francisco,2020-07-31,6132,1,San Francisco,0
84006075,6075,San Francisco,2020-08-01,6302,1,San Francisco,0
84006075,6075,San Francisco,2020-08-02,6303,1,San Francisco,0
84006075,6075,San Francisco,2020-08-03,6325,1,San Francisco,0
84006075,6075,San Francisco,2020-08-04,6574,1,San Francisco,0
84006075,6075,San Francisco,2020-08-05,6707,1,San Francisco,0
84006075,6075,San Francisco,2020-08-06,6743,1,San Francisco,0
84006075,6075,San Francisco,2020-08-07,6772,1,San Francisco,0
84006075,6075,San Francisco,2020-08-08,6827,1,San Francisco,0
84006075,6075,San Francisco,2020-08-09,6827,1,San Francisco,0
84006075,6075,San Francisco,2020-08-10,6823,1,San Francisco,0
84006075,6075,San Francisco,2020-08-11,6996,1,San Francisco,0
84006075,6075,San Francisco,2020-08-12,7202,1,San Francisco,0
84006075,6075,San Francisco,2020-08-13,7285,1,San Francisco,0
84006075,6075,San Francisco,2020-08-14,7475,1,San Francisco,0
84006075,6075,San Francisco,2020-08-15,7609,1,San Francisco,0
84006075,6075,San Francisco,2020-08-16,7610,1,San Francisco,0
84006075,6075,San Francisco,2020-08-17,7608,1,San Francisco,0
84006075,6075,San Francisco,2020-08-18,8024,1,San Francisco,0
84006075,6075,San Francisco,2020-08-19,8244,1,San Francisco,0
84006075,6075,San Francisco,2020-08-20,8270,1,San Francisco,0
84006075,6075,San Francisco,2020-08-21,8383,1,San Francisco,0
84006075,6075,San Francisco,2020-08-22,8576,1,San Francisco,0
84006075,6075,San Francisco,2020-08-23,8572,1,San Francisco,0
84006075,6075,San Francisco,2020-08-24,8630,1,San Francisco,0
84006075,6075,San Francisco,2020-08-25,8857,1,San Francisco,0
